candidate_id,f1,s1,f2,s2,kind,family1,family2
P::accel_10_40::+1::amihud_20::-1,accel_10_40,1,amihud_20,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_20::+1,accel_10_40,-1,amihud_20,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_20::-1,accel_10_40,-1,amihud_20,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_40::+1,accel_10_40,1,amihud_40,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_40::-1,accel_10_40,1,amihud_40,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_40::+1,accel_10_40,-1,amihud_40,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_40::-1,accel_10_40,-1,amihud_40,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_5::+1,accel_10_40,1,amihud_5,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_5::-1,accel_10_40,1,amihud_5,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_5::+1,accel_10_40,-1,amihud_5,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_5::-1,accel_10_40,-1,amihud_5,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_63::+1,accel_10_40,1,amihud_63,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_63::-1,accel_10_40,1,amihud_63,-1.0,pair_additive_rank,trend_acceleration,illiquidity
