claim_id,feature,family,horizon,orientation,diagnostic_survivor,discovery_ic_n,discovery_ic_mean,discovery_ic_hac_t,discovery_ic_bonferroni_lb,discovery_spread_n,discovery_spread_mean,discovery_spread_hac_t,discovery_spread_bonferroni_lb,validation_ic_n,validation_ic_mean,validation_ic_hac_t,validation_ic_bonferroni_lb,validation_spread_n,validation_spread_mean,validation_spread_hac_t,validation_spread_bonferroni_lb,diagnostic_holdout_ic_n,diagnostic_holdout_ic_mean,diagnostic_holdout_ic_hac_t,diagnostic_holdout_ic_bonferroni_lb,diagnostic_holdout_spread_n,diagnostic_holdout_spread_mean,diagnostic_holdout_spread_hac_t,diagnostic_holdout_spread_bonferroni_lb
amihud_21:future_21d_return,amihud_21,liquidity,21,1,False,24,0.014881544997268924,0.9143283550338664,-0.04177100522785449,24,0.0029886129314355757,1.0602719656165729,-0.006822675057450373,12,0.05547946256525114,1.522034845054713,-0.07139706411948696,12,0.011987316501640406,1.7366217208735448,-0.012039175959263524,12,-0.03604903642083478,-2.1479540397705073,-0.09446644762658757,12,-0.006587184389898412,-2.19189583943863,-0.01704771077039499
volume_ratio_10_63:future_21d_return,volume_ratio_10_63,volume,21,1,False,24,0.00012830144233178659,0.0092319833841626,-0.048245493060953534,24,-0.00017458266468865953,-0.068351695486901,-0.009065067734211781,12,0.0010888893248171723,0.07269914800377646,-0.051045951248345295,12,0.000610662738462856,0.17429622758940846,-0.01158448495462104,12,-0.036900771974014736,-3.042397242998627,-0.07911833533443818,12,-0.006234850325846385,-2.232994529346837,-0.01595363598188559
efficiency_42:future_63d_return,efficiency_42,path,63,-1,False,24,0.002099539212057279,0.12899950157740375,-0.05455172276324126,24,0.0005366438441833018,0.10446949269891304,-0.017343470715935064,12,0.00860923254441697,0.21213211805292376,-0.13265481361010847,12,-0.0019047131757647454,-0.16945105372415462,-0.04103012691192464,10,-0.03701742794292282,-1.366732694172899,-0.131292372805297,10,-0.010473840952949771,-2.089160121578428,-0.027924341083853818
beta_21:future_21d_return,beta_21,market,21,-1,False,24,0.0628037097471582,2.3189369221427207,-0.031465527519171047,24,0.011680935458876662,1.6832471696289368,-0.012473859891946954,12,-0.07918183099922134,-1.2944017902505918,-0.29210850294475676,12,-0.013274603436560338,-1.3036487243065507,-0.048717940330509434,12,-0.037128109333378984,-0.7113148041810432,-0.21881124538481692,12,-0.0013398560569575259,-0.1657391516914441,-0.029478726707384325
beta_126:future_21d_return,beta_126,market,21,-1,False,24,0.05005833836225116,1.1141027642245755,-0.10633736178360564,24,0.011261388569136471,1.0898527332760888,-0.024705076611919695,12,-0.12876741885030238,-2.257326717531588,-0.32732441742445895,12,-0.028956995650877254,-2.518874252218173,-0.06897179510887225,12,-0.03970918300658358,-0.648346661311925,-0.25289450701494604,12,-0.006140100139178702,-0.6073328023461637,-0.04133034970286345
dist_high_63:future_21d_return,dist_high_63,breakout,21,-1,False,24,0.00469256421739724,0.15092558342766207,-0.10353079050854362,24,-0.0013797414098532291,-0.2288758605191345,-0.022362923025403453,12,0.13255635413701858,3.3727644052665067,-0.004244300506618642,12,0.024535360799323794,3.059577806598325,-0.0033775146474171944,12,-0.04135761830147078,-0.9682958183046904,-0.19002684938768177,12,-0.004468085222059353,-0.6856230850540905,-0.0271515633471008
dist_low_63:future_21d_return,dist_low_63,breakout,21,-1,False,24,0.026298471325540713,1.3456630316239624,-0.041726413314726166,24,0.0038504108122383238,1.2122015406603164,-0.007205788709469899,12,0.025213743801098382,0.8267829458839602,-0.08093612376708943,12,-0.0016655364171936735,-0.29555497749450094,-0.02128058942683767,12,-0.042028937073024984,-1.116658957671733,-0.17303804319242702,12,-0.006650710213762137,-1.035924692521301,-0.02899741392410691
clv21_x_volumez21:future_63d_return,clv21_x_volumez21,interaction,63,1,False,24,0.00805569587246634,0.4083105104901902,-0.06061732203708971,24,0.005821570458848745,0.7454055434344677,-0.02136291835595992,12,-0.04423372264055844,-1.635282702076984,-0.13838674778639093,12,-0.020305299984114306,-2.325575651365438,-0.05069683032215331,10,-0.04472837268590781,-1.7149365222661495,-0.13551223999589393,10,-0.013960580461878525,-1.4649512966172076,-0.04713122576816557
amihud_63:future_63d_return,amihud_63,liquidity,63,1,False,24,0.0553848183355799,2.7169087589657717,-0.015571212296272327,24,0.018458943768067934,3.161344621625513,-0.0018650304986580837,12,0.07293842998991178,2.127938178983192,-0.04636997371176867,12,0.03437231804402901,2.5140639562739024,-0.013216632851755256,10,-0.04675396592579854,-3.889264891746588,-0.08859713445622139,10,-0.01015775807233674,-2.9481142720490925,-0.02215074009454008
volume_z_21:future_63d_return,volume_z_21,volume,63,1,False,24,0.010492932669031804,0.5298542620280655,-0.058437988917424695,24,0.006607361733266406,0.86348923096801,-0.02002715302856433,12,-0.04073467547874251,-1.573428262991168,-0.13084840095743291,12,-0.01670138456673652,-1.8308122965233369,-0.048454203467129246,10,-0.04706584019589288,-1.947637688702494,-0.131180419431074,10,-0.013531572770739209,-1.6455442210732356,-0.04215438823777582
